Water,Eau,Wasser,Acqua,みず,물,Agua
Competitive,Battant,Unbeugsamkeit,Tenacia,かちき,승기,Tenacidad
Compound Eyes,Œil Composé,Facettenauge,Insettocchi,ふくがん,복안,Ojo Compuesto
Contrary,Contestation,Umkehrung,Inversione,あまのじゃく,심술꾸러기,Respondón
Corrosion,Corrosion,Korrosion,Corrosione,ふしょく,부식,Corrosión
Cursed Body,Corps Maudit,Tastfluch,Corpofunesto,のろわれボディ,저주받은바디,Cuerpo Maldito
Cute Charm,Joli Sourire,Charmebolzen,Incantevole,メロメロボディ,헤롱헤롱 바디,Gran Encanto
Damp,Moiteur,Feuchtigkeit,Umidità,しめりけ,습기,Humedad
Dancer,Danseuse,Tänzer,Sincrodanza,おどりこ,무희,Pareja de Baile
Dark Aura,Aura Ténébreuse,Dunkelaura,Auratetra,ダークオーラ,다크오라,Aura Oscura
Dazzling,Corps Coloré,Buntkörper,Corposgargiante,ビビッドボディ,비비드바디,Cuerpo Vívido
Defeatist,Défaitiste,Schwächling,Sconforto,よわき,무기력,Flaqueza
Defiant,Acharné,Siegeswille,Agonismo,まけんき,오기,Competitivo
Delta Stream,Souffle Delta,Delta-Wind,Flusso Delta,デルタストリーム,델타스트림,Ráfaga Delta
Desolate Land,Terre Finale,Endland,Terra Estrema,おわりのだいち,끝의대지,Tierra del Ocaso
Disguise,Fantômasque,Kostümspuk,Fantasmanto,ばけのかわ,탈,Disfraz
Download,Télécharge,Download,Download,ダウンロード,다운로드,Descarga
Drizzle,Crachin,Niesel,Piovischio,あめふらし,잔비,Llovizna
Drought,Sécheresse,Dürre,Siccità,ひでり,가뭄,Sequía
Dry Skin,Peau Sèche,Trockenheit,Pellearsa,かんそうはだ,건조피부,Piel Seca
Early Bird,Matinal,Frühwecker,Sveglialampo,はやおき,일찍 기상,Madrugar
Effect Spore,Pose Spore,Sporenwirt,Spargispora,ほうし,포자,Efecto Espora
Electric Surge,Créa-Élec,Elektro-Erzeuger,Elettrogenesi,エレキメイカー,일렉트릭메이커,Electrogénesis
Fairy Aura,Aura Féerique,Feenaura,Aurafolletto,フェアリーオーラ,페어리오라,Aura Feérica
Filter,Filtre,Filter,Filtro,フィルター,필터,Filtro
Flame Body,Corps Ardent,Flammkörper,Corpodifuoco,ほのおのからだ,불꽃몸,Cuerpo Llama
Flare Boost,Rage Brûlure,Hitzewahn,Bruciaimpeto,ねつぼうそう,열폭주,Ímpetu Ardiente
Flash Fire,Torche,Feuerfänger,Fuocardore,もらいび,타오르는 불꽃,Absorbe Fuego
Flower Gift,Don Floral,Pflanzengabe,Regalfiore,フラワーギフト,플라워기프트,Don Floral
Flower Veil,Flora-Voile,Blütenhülle,Fiorvelo,フラワーベール,플라워베일,Velo Flor
Fluffy,Boule de Poils,Flauschigkeit,Morbidone,もふもふ,복슬복슬,Peluche
Forecast,Météo,Prognose,Previsioni,てんきや,기분파,Predicción
Forewarn,Prédiction,Vorwarnung,Premonizione,よちむ,예지몽,Alerta
Friend Guard,Garde Amie,Freundeshut,Amicoscudo,フレンドガード,프렌드가드,Compiescolta
Frisk,Fouille,Schnüffler,Indagine,おみとおし,통찰,Cacheo
Fur Coat,Toison Épaisse,Fellkleid,Foltopelo,ファーコート,퍼코트,Pelaje Recio
Gale Wings,Ailes Bourrasque,Orkanschwingen,Aliraffica,はやてのつばさ,질풍날개,Alas Vendaval
Gluttony,Gloutonnerie,Völlerei,Voracità,くいしんぼう,먹보,Gula
Gooey,Poisseux,Viskosität,Viscosità,ぬめぬめ,미끈미끈,Baba
Grass Pelt,Toison Herbue,Pflanzenpelz,Peloderba,くさのけがわ,풀모피,Manto Frondoso
Guts,Cran,Adrenalin,Dentistretti,こんじょう,근성,Agallas
Harvest,Récolte,Reiche Ernte,Coglibacche,しゅうかく,수확,Cosecha
Healer,Cœur Soin,Heilherz,Curacuore,いやしのこころ,치유의마음,Alma Cura
Heatproof,Ignifugé,Hitzeschutz,Antifuoco,たいねつ,내열,Ignífugo
Heavy Metal,Heavy Metal,Schwermetall,Metalpesante,ヘヴィメタル,헤비메탈,Metal Pesado
Honey Gather,Cherche Miel,Honigmaul,Mielincetta,みつあつめ,꿀모으기,Recogemiel
Huge Power,Coloforce,Kraftkoloss,Macroforza,ちからもち,천하장사,Potencia
Hustle,Agitation,Übereifer,Tuttafretta,はりきり,의욕,Entusiasmo
Hydration,Hydratation,Hydration,Idratazione,うるおいボディ,촉촉바디,Hidratación
Hyper Cutter,Hyper Cutter,Scherenmacht,Ipertaglio,かいりきバサミ,괴력집게,Corte Fuerte
Ice Body,Corps Gel,Eishaut,Corpogelo,アイスボディ,아이스바디,Gélido
Illuminate,Lumiattirance,Erleuchtung,Risplendi,はっこう,발광,Iluminación
Illusion,Illusion,Trugbild,Illusione,イリュージョン,일루전,Ilusión
Immunity,Vaccin,Immunität,Immunità,めんえき,면역,Inmunidad
Imposter,Imposteur,Doppelgänger,Sosia,かわりもの,괴짜,Impostor
Infiltrator,Infiltration,Schwebedurch,Intrapasso,すりぬけ,틈새포착,Allanamiento
Innards Out,Expuls'Organes,Magenkrempler,Espellinterno,とびだすなかみ,내용물분출,Revés
Inner Focus,Attention,Konzentrator,Fuocodentro,せいしんりょく,정신력,Foco Interno
Insomnia,Insomnia,Insomnia,Insonnia,ふみん,불면,Insomnio
Intimidate,Intimidation,Bedroher,Prepotenza,いかく,위협,Intimidación
Iron Barbs,Épine de Fer,Eisenstachel,Spineferrate,てつのトゲ,철가시,Punta Acero
Iron Fist,Poing de Fer,Eisenfaust,Ferropugno,てつのこぶし,철주먹,Puño Férreo
Justified,Cœur Noble,Redlichkeit,Giustizia,せいぎのこころ,정의의마음,Justiciero
Keen Eye,Regard Vif,Adlerauge,Sguardofermo,するどいめ,날카로운 눈,Vista Lince
Klutz,Maladresse,Tollpatsch,Impaccio,ぶきよう,서투름,Zoquete
Leaf Guard,Feuille Garde,Floraschild,Fogliamanto,リーフガード,리프가드,Defensa Hoja
Levitate,Lévitation,Schwebe,Levitazione,ふゆう,부유,Levitación
Light Metal,Light Metal,Leichtmetall,Metalleggero,ライトメタル,라이트메탈,Metal Liviano
Lightning Rod,Paratonnerre,Blitzfänger,Parafulmine,ひらいしん,피뢰침,Pararrayos
Limber,Échauffement,Flexibilität,Scioltezza,じゅうなん,유연,Flexibilidad
Liquid Ooze,Suintement,Kloakensoße,Melma,ヘドロえき,해감액,Lodo Líquido
Magic Bounce,Miroir Magik,Magiespiegel,Magispecchio,マジックミラー,매직미러,Espejo Mágico
Magic Guard,Garde Magik,Magieschild,Magicscudo,マジックガード,매직가드,Muro Mágico
Magician,Magicien,Zauberer,Prestigiatore,マジシャン,매지션,Prestidigitador
Magma Armor,Armumagma,Magmapanzer,Magmascudo,マグマのよろい,마그마의 무장,Escudo Magma
Magnet Pull,Magnépiège,Magnetfalle,Magnetismo,じりょく,자력,Imán
Marvel Scale,Écaille Spéciale,Notschutz,Pelledura,ふしぎなうろこ,이상한 비늘,Escama Especial
Mega Launcher,Méga Blaster,Megawumme,Megalancio,メガランチャー,메가런처,Megadisparador
Minus,Minus,Minus,Meno,マイナス,마이너스,Menos
Mold Breaker,Brise Moule,Überbrückung,Rompiforma,かたやぶり,틀깨기,Rompemoldes
Moody,Lunatique,Gefühlswippe,Altalena,ムラっけ,변덕쟁이,Veleta
Motor Drive,Motorisé,Starthilfe,Elettrorapid,でんきエンジン,전기엔진,Electromotor
Moxie,Impudence,Hochmut,Arroganza,じしんかじょう,자기과신,Autoestima
Multiscale,Multiécaille,Multischuppe,Multisquame,マルチスケイル,멀티스케일,Compensación
Multitype,Multi-Type,Variabilität,Multitipo,マルチタイプ,멀티타입,Multitipo
Mummy,Momie,Mumie,Mummia,ミイラ,미라,Momia
Natural Cure,Médic Nature,Innere Kraft,Alternacura,しぜんかいふく,자연회복,Cura Natural
No Guard,Annule Garde,Schildlos,Nullodifesa,ノーガード,노가드,Indefenso
Normalize,Normalise,Regulierung,Normalità,ノーマルスキン,노말스킨,Normalidad
Oblivious,Benêt,Dösigkeit,Indifferenza,どんかん,둔감,Despiste
Overcoat,Envelocape,Wetterfest,Copricapo,ぼうじん,방진,Funda
Overgrow,Engrais,Notdünger,Erbaiuto,しんりょく,심록,Espesura
Own Tempo,Tempo Perso,Tempomacher,Mente Locale,マイペース,마이페이스,Ritmo Proprio
Parental Bond,Amour Filial,Familienbande,Amorefiliale,おやこあい,부자유친,Amor Filial
Pickpocket,Pickpocket,Langfinger,Arraffalesto,わるいてぐせ,나쁜손버릇,Hurto
Pickup,Ramassage,Mitnahme,Raccolta,ものひろい,픽업,Recogida
Pixilate,Peau Féérique,Feenschicht,Pellefolletto,フェアリースキン,페어리스킨,Piel Feérica
Plus,Plus,Plus,Più,プラス,플러스,Más
Poison Heal,Soin Poison,Aufheber,Velencura,ポイズンヒール,포이즌힐,Antídoto
Poison Point,Point Poison,Giftdorn,Velenopunto,どくのトゲ,독가시,Punto Tóxico
Poison Touch,Toxitouche,Giftgriff,Velentocco,どくしゅ,독수,Toque Tóxico
Power Construct,Rassemblement,Scharwandel,Sciamefusione,スワームチェンジ,스웜체인지,Agrupamiento
Prankster,Farceur,Strolch,Burla,いたずらごころ,짓궂은마음,Bromista
Pressure,Pression,Erzwinger,Pressione,プレッシャー,프레셔,Presión
Primordial Sea,Mer Primaire,Urmeer,Mare Primordiale,はじまりのうみ,시작의바다,Mar del Albor
Protean,Protéen,Wandlungskunst,Mutatipo,へんげんじざい,변환자재,Mutatipo
Pure Power,Force Pure,Mentalkraft,Forzapura,ヨガパワー,순수한힘,Energía Pura
Quick Feet,Pied Véloce,Rasanz,Piedisvelti,はやあし,속보,Pies Rápidos
Rain Dish,Cuvette,Regengenuss,Copripioggia,あめうけざら,젖은접시,Cura Lluvia
Rattled,Phobique,Hasenfuß,Paura,びびり,주눅,Cobardía
Receiver,Receveur,Receiver,Ricezione,レシーバー,리시버,Receptor
Reckless,Téméraire,Achtlos,Temerarietà,すてみ,이판사판,Audaz
Refrigerate,Peau Gelée,Frostschicht,Pellegelo,フリーズスキン,프리즈스킨,Piel Helada
Regenerator,Régé-Force,Belebekraft,Rigenergia,さいせいりょく,재생력,Regeneración
Rivalry,Rivalité,Rivalität,Antagonismo,とうそうしん,투쟁심,Rivalidad
Rock Head,Tête de Roc,Steinhaupt,Testadura,いしあたま,돌머리,Cabeza Roca
Rough Skin,Peau Dure,Rauhaut,Cartavetro,さめはだ,까칠한 피부,Piel Tosca
Run Away,Fuite,Angsthase,Fugafacile,にげあし,도주,Fuga
Sand Force,Force Sable,Sandgewalt,Silicoforza,すなのちから,모래의힘,Poder Arena
Sand Rush,Baigne Sable,Sandscharrer,Remasabbia,すなかき,모래헤치기,Ímpetu Arena
Sand Stream,Sable Volant,Sandsturm,Sabbiafiume,すなおこし,모래날림,Chorro Arena
Sand Veil,Voile Sable,Sandschleier,Sabbiavelo,すながくれ,모래숨기,Velo Arena
Sap Sipper,Herbivore,Vegetarier,Mangiaerba,そうしょく,초식,Herbívoro
Schooling,Banc,Fischschwarm,Banco,ぎょぐん,어군,Banco
Scrappy,Querelleur,Rauflust,Nervisaldi,きもったま,배짱,Intrépido
Serene Grace,Sérénité,Edelmut,Leggiadro,てんのめぐみ,하늘의 은총,Dicha
Shadow Shield,Spectro-Bouclier,Phantomschutz,Spettroguardia,ファントムガード,스펙터가드,Guardia Espectro
Shadow Tag,Marque Ombre,Wegsperre,Pedinombra,かげふみ,그림자 밟기,Sombra Trampa
Shed Skin,Mue,Expidermis,Muta,だっぴ,탈피,Mudar
Sheer Force,Sans Limite,Rohe Gewalt,Forzabruta,ちからずく,우격다짐,Potencia Bruta
Shell Armor,Coque Armure,Panzerhaut,Guscioscudo,シェルアーマー,조가비 갑옷,Caparazón
Shield Dust,Écran Poudre,Puderabwehr,Polvoscudo,りんぷん,인분,Polvo Escudo
Shields Down,Bouclier-Carcan,Limitschild,Scudosoglia,リミットシールド,리밋실드,Escudo Limitado
Simple,Simple,Wankelmut,Disinvoltura,たんじゅん,단순,Simple
Skill Link,Multi-Coups,Wertelink,Abillegame,スキルリンク,스킬링크,Encadenado
Slow Start,Début Calme,Saumselig,Lentoinizio,スロースタート,슬로스타트,Inicio Lento
Sniper,Sniper,Superschütze,Cecchino,スナイパー,스나이퍼,Francotirador
Snow Cloak,Rideau Neige,Schneemantel,Mantelneve,ゆきがくれ,눈숨기,Manto Níveo
Snow Warning,Alerte Neige,Hagelalarm,Scendineve,ゆきふらし,눈퍼뜨리기,Nevada
Solar Power,Force Soleil,Solarkraft,Solarpotere,サンパワー,선파워,Poder Solar
Solid Rock,Solide Roc,Felskern,Solidroccia,ハードロック,하드록,Roca Sólida
Soul-Heart,Animacœur,Seelenherz,Cuoreanima,ソウルハート,소울하트,Coránima
Soundproof,Anti-Bruit,Lärmschutz,Antisuono,ぼうおん,방음,Insonorizar
Speed Boost,Turbo,Temposchub,Acceleratore,かそく,가속,Impulso
Stakeout,Filature,Beschattung,Sorveglianza,はりこみ,참복,Vigilante
Stall,Frein,Zeitspiel,Rallentatore,あとだし,시간벌기,Rezagado
Stamina,Endurance,Zähigkeit,Sopportazione,じきゅうりょく,지구력,Firmeza
Stance Change,Déclic Tactique,Taktikwechsel,Accendilotta,バトルスイッチ,배틀스위치,Cambio Táctico
Static,Statik,Statik,Statico,せいでんき,정전기,Elec. Estática
Steadfast,Impassible,Felsenfest,Cuordeciso,ふくつのこころ,불굴의 마음,Impasible
Stench,Puanteur,Duftnote,Tanfo,あくしゅう,악취,Hedor
Sticky Hold,Glue,Wertehalter,Antifurto,ねんちゃく,점착,Viscosidad
Storm Drain,Lavabo,Sturmsog,Acquascolo,よびみず,마중물,Colector
Strong Jaw,Prognathe,Titankiefer,Ferromascella,がんじょうあご,옹골찬턱,Mandíbula Fuerte
Sturdy,Fermeté,Robustheit,Vigore,がんじょう,옹골참,Robustez
Suction Cups,Ventouse,Saugnapf,Ventose,きゅうばん,흡반,Ventosas
Super Luck,Chanceux,Glückspilz,Supersorte,きょううん,대운,Afortunado
Surge Surfer,Surf Caudal,Surf-Schweif,Codasurf,サーフテール,서핑테일,Cola Surf
Swarm,Essaim,Hexaplaga,Aiutinsetto,むしのしらせ,벌레의 알림,Enjambre
Sweet Veil,Gluco-Voile,Zuckerhülle,Dolcevelo,スイートベール,스위트베일,Velo Dulce
Swift Swim,Glissade,Wassertempo,Nuotovelox,すいすい,쓱쓱,Nado Rápido
Symbiosis,Symbiose,Nutznießer,Simbiosi,きょうせい,공생,Simbiosis
Synchronize,Synchro,Synchro,Sincronismo,シンクロ,싱크로,Sincronía
Tangled Feet,Pieds Confus,Fußangel,Intricopiedi,ちどりあし,갈지자걸음,Tumbos
Technician,Technicien,Techniker,Tecnico,テクニシャン,테크니션,Experto
Telepathy,Télépathe,Telepathie,Telepatia,テレパシー,텔레파시,Telepatía
Teravolt,Téra-Voltage,Teravolt,Teravolt,テラボルテージ,테라볼티지,Terravoltaje
Thick Fat,Isograisse,Speckschicht,Grassospesso,あついしぼう,두꺼운 지방,Sebo
Tinted Lens,Lentiteintée,Aufwertung,Lentifumé,いろめがね,색안경,Cromolente
Torrent,Torrent,Sturzbach,Acquaiuto,げきりゅう,급류,Torrente
Tough Claws,Griffe Dure,Krallenwucht,Unghiedure,かたいツメ,단단한 발톱,Garra Dura
Toxic Boost,Rage Poison,Giftwahn,Velenimpeto,どくぼうそう,독폭주,Ímpetu Tóxico
Trace,Calque,Fährte,Traccia,トレース,트레이스,Rastro
Triage,Prioguérison,Heilwandel,Primacura,ヒーリングシフト,힐링시프트,Primer Auxilio
Truant,Absentéisme,Schnarchnase,Pigrone,なまけ,게으름,Ausente
Turboblaze,TurboBrasier,Turbobrand,Piroturbina,ターボブレイズ,터보블레이즈,Turbollama
Unaware,Inconscient,Unkenntnis,Imprudenza,てんねん,천진,Ignorante
Unburden,Délestage,Entlastung,Agiltecnica,かるわざ,곡예,Liviano
Unnerve,Tension,Anspannung,Agitazione,きんちょうかん,긴장감,Nerviosismo
Victory Star,Victorieux,Triumphstern,Vittorstella,しょうりのほし,승리의별,Tinovictoria
Vital Spirit,Esprit Vital,Munterkeit,Spiritovivo,やるき,의기양양,Espíritu Vital
Volt Absorb,Absorb Volt,Voltabsorber,Assorbivolt,ちくでん,축전,Absorbe Elec
Water Absorb,Absorb Eau,H2O-Absorber,Assorbacqua,ちょすい,저수,Absorbe Agua
Water Compaction,Sable Humide,Verklumpen,Idrorinforzo,みずがため,꾸덕꾸덕굳기,Hidrorrefuerzo
Water Veil,Ignifu-Voile,Aquahülle,Idrovelo,みずのベール,수의 베일,Velo Agua
Weak Armor,Armurouillée,Bruchrüstung,Sottilguscio,くだけるよろい,깨어진갑옷,Armadura Frágil
White Smoke,Écran Fumée,Pulverrauch,Fumochiaro,しろいけむり,하얀연기,Humo Blanco
Wimp Out,Escampette,Reißaus,Fuggifuggi,にげごし,도망태세,Huida
Wonder Guard,Garde Mystik,Wunderwache,Magidifesa,ふしぎなまもり,불가사의 부적,Superguarda
Wonder Skin,Peau Miracle,Wunderhaut,Splendicute,ミラクルスキン,미라클스킨,Piel Milagro
Pound,Écras'Face,Pfund,Botta,はたく,막치기,Destructor
Karate Chop,Poing-Karaté,Karateschlag,Colpokarate,からてチョップ,태권당수,Golpe Karate
Double Slap,Torgnoles,Duplexhieb,Doppiasberla,おうふくビンタ,연속뺨치기,Doble Bofetón
Comet Punch,Poing Comète,Kometenhieb,Cometapugno,れんぞくパンチ,연속펀치,Puño Cometa
Mega Punch,Ultimapoing,Megahieb,Megapugno,メガトンパンチ,메가톤펀치,Megapuño
Pay Day,Jackpot,Zahltag,Giornopaga,ネコにこばん,고양이돈받기,Día de Pago
Fire Punch,Poing de Feu,Feuerschlag,Fuocopugno,ほのおのパンチ,불꽃펀치,Puño Fuego
Ice Punch,Poing-Glace,Eishieb,Gelopugno,れいとうパンチ,냉동펀치,Puño Hielo
Thunder Punch,Poing-Éclair,Donnerschlag,Tuonopugno,かみなりパンチ,번개펀치,Puño Trueno
Scratch,Griffe,Kratzer,Graffio,ひっかく,할퀴기,Arañazo
Vice Grip,Force Poigne,Klammer,Presa,はさむ,찝기,Agarre
Guillotine,Guillotine,Guillotine,Ghigliottina,ハサミギロチン,가위자르기,Guillotina
Razor Wind,Coupe-Vent,Klingensturm,Ventagliente,かまいたち,칼바람,Viento Cortante
Swords Dance,Danse-Lames,Schwerttanz,Danzaspada,つるぎのまい,칼춤,Danza Espada
Cut,Coupe,Zerschneider,Taglio,いあいぎり,풀베기,Corte
Gust,Tornade,Windstoß,Raffica,かぜおこし,바람일으키기,Tornado
Wing Attack,Cru-Aile,Flügelschlag,Attacco d'Ala,つばさでうつ,날개치기,Ataque Ala
Whirlwind,Cyclone,Wirbelwind,Turbine,ふきとばし,날려버리기,Remolino
Fly,Vol,Fliegen,Volo,そらをとぶ,공중날기,Vuelo
Bind,Étreinte,Klammergriff,Legatutto,しめつける,조이기,Atadura
Slam,Souplesse,Slam,Schianto,たたきつける,힘껏치기,Atizar
Vine Whip,Fouet Lianes,Rankenhieb,Frustata,つるのムチ,덩굴채찍,Látigo Cepa
Stomp,Écrasement,Stampfer,Pestone,ふみつけ,짓밟기,Pisotón
Double Kick,Double Pied,Doppelkick,Doppiocalcio,にどげり,두번치기,Doble Patada
Mega Kick,Ultimawashi,Megakick,Megacalcio,メガトンキック,메가톤킥,Megapatada
Jump Kick,Pied Sauté,Sprungkick,Calciosalto,とびげり,점프킥,Patada Salto
Rolling Kick,Mawashi Geri,Fegekick,Calciorullo,まわしげり,돌려차기,Patada Giro
Sand Attack,Jet de Sable,Sandwirbel,Turbosabbia,すなかけ,모래뿌리기,Ataque Arena
Headbutt,Coup d’Boule,Kopfnuss,Bottintesta,ずつき,박치기,Golpe Cabeza
Horn Attack,Koud'Korne,Hornattacke,Incornata,つのでつく,뿔찌르기,Cornada
Fury Attack,Furie,Furienschlag,Furia,みだれづき,마구찌르기,Ataque Furia
Horn Drill,Empal'Korne,Hornbohrer,Perforcorno,つのドリル,뿔드릴,Perforador
Tackle,Charge,Tackle,Azione,たいあたり,몸통박치기,Placaje
Body Slam,Plaquage,Bodyslam,Corposcontro,のしかかり,누르기,Golpe Cuerpo
Wrap,Ligotage,Wickel,Avvolgibotta,まきつく,김밥말이,Constricción
Take Down,Bélier,Bodycheck,Riduttore,とっしん,돌진,Derribo
Thrash,Mania,Fuchtler,Colpo,あばれる,난동부리기,Golpe
Double-Edge,Damoclès,Risikotackle,Sdoppiatore,すてみタックル,이판사판태클,Doble Filo
Tail Whip,Mimi-Queue,Rutenschlag,Colpocoda,しっぽをふる,꼬리흔들기,Látigo
Poison Sting,Dard-Venin,Giftstachel,Velenospina,どくばり,독침,Picotazo Ven
Twineedle,Double-Dard,Duonadel,Doppio Ago,ダブルニードル,더블니들,Doble Ataque
Pin Missile,Dard-Nuée,Nadelrakete,Missilspillo,ミサイルばり,바늘미사일,Pin Misil
Leer,Groz'Yeux,Silberblick,Fulmisguardo,にらみつける,째려보기,Malicioso
Bite,Morsure,Biss,Morso,かみつく,물기,Mordisco
Growl,Rugissement,Heuler,Ruggito,なきごえ,울음소리,Gruñido
Roar,Hurlement,Brüller,Boato,ほえる,울부짖기,Rugido
Sing,Berceuse,Gesang,Canto,うたう,노래하기,Canto
Supersonic,Ultrason,Superschall,Supersuono,ちょうおんぱ,초음파,Supersónico
Sonic Boom,Sonicboom,Ultraschall,Sonicboom,ソニックブーム,소닉붐,Bomba Sónico
Disable,Entrave,Aussetzer,Inibitore,かなしばり,사슬묶기,Anulación
Acid,Acide,Säure,Acido,ようかいえき,용해액,Ácido
Ember,Flammèche,Glut,Braciere,ひのこ,불꽃세례,Ascuas
Flamethrower,Lance-Flammes,Flammenwurf,Lanciafiamme,かえんほうしゃ,화염방사,Lanzallamas
Mist,Brume,Weißnebel,Nebbia,しろいきり,흰안개,Neblina
Water Gun,Pistolet à O,Aquaknarre,Pistolacqua,みずでっぽう,물대포,Pistola Agua
Hydro Pump,Hydrocanon,Hydropumpe,Idropompa,ハイドロポンプ,하이드로펌프,Hidrobomba
Surf,Surf,Surfer,Surf,なみのり,파도타기,Surf
Ice Beam,Laser Glace,Eisstrahl,Geloraggio,れいとうビーム,냉동빔,Rayo Hielo
Blizzard,Blizzard,Blizzard,Bora,ふぶき,눈보라,Ventisca
Psybeam,Rafale Psy,Psystrahl,Psicoraggio,サイケこうせん,환상빔,Psicorrayo
Bubble Beam,Bulles d’O,Blubbstrahl,Bollaraggio,バブルこうせん,거품광선,Rayo Burbuja
Aurora Beam,Onde Boréale,Aurorastrahl,Raggiaurora,オーロラビーム,오로라빔,Rayo Aurora
Hyper Beam,Ultralaser,Hyperstrahl,Iper Raggio,はかいこうせん,파괴광선,Hiperrayo
Peck,Picpic,Schnabel,Beccata,つつく,쪼기,Picotazo
Drill Peck,Bec Vrille,Bohrschnabel,Perforbecco,ドリルくちばし,회전부리,Pico Taladro
Submission,Sacrifice,Überroller,Sottomissione,じごくぐるま,지옥의바퀴,Sumisión
